,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Year,Month,PV,Day_Perc_Change,Trend
396,HINDUNILVR,EQ,2018-12-18,1850.7,1848.9,1848.9,1833.0,1844.0,1840.75,1839.35,1521255,2798114681.9,58549,1040031,68.37,2018,12,2800250141.25,-0.5376344086021501,Slight Negative
397,HINDUNILVR,EQ,2018-12-19,1840.75,1849.95,1858.0,1842.0,1845.0,1844.8,1848.62,1687085,3118785203.6,89407,1324512,78.51,2018,12,3112334408.0,0.22001901398887025,Slight or No Change
398,HINDUNILVR,EQ,2018-12-20,1844.8,1839.0,1854.9,1821.0,1833.0,1834.25,1839.16,1500656,2759945725.9,84823,898964,59.9,2018,12,2752578268.0,-0.5718777103209005,Slight Negative
399,HINDUNILVR,EQ,2018-12-21,1834.25,1833.0,1842.6,1800.0,1810.0,1803.5,1816.56,1439522,2614985011.9,85704,946603,65.76,2018,12,2596177927.0,-1.6764345100177214,Negative
400,HINDUNILVR,EQ,2018-12-24,1803.5,1814.0,1814.0,1777.55,1788.0,1784.65,1797.63,1023418,1839728513.15,46050,376414,36.78,2018,12,1826442933.7,-1.0451899085112237,Negative
401,HINDUNILVR,EQ,2018-12-26,1784.65,1760.0,1798.65,1741.25,1790.0,1791.6,1772.77,2212019,3921411644.1,71897,642553,29.05,2018,12,3963053240.3999996,0.3894321015325053,Slight or No Change
402,HINDUNILVR,EQ,2018-12-27,1791.6,1802.7,1823.0,1793.15,1816.0,1814.9,1807.59,1516851,2741845054.3,60445,801536,52.84,2018,12,2752932879.9,1.3005135074793506,Positive
403,HINDUNILVR,EQ,2018-12-28,1814.9,1817.9,1834.9,1815.7,1820.0,1822.05,1826.37,963189,1759135560.45,46234,459688,47.73,2018,12,1754978517.45,0.39396109978511173,Slight or No Change
404,HINDUNILVR,EQ,2018-12-31,1822.05,1830.0,1836.9,1811.25,1817.9,1819.65,1820.78,757071,1378463008.35,29700,412583,54.5,2018,12,1377604245.15,-0.13171976619740233,Slight or No Change
405,HINDUNILVR,EQ,2019-01-01,1819.65,1824.8,1824.8,1798.35,1799.0,1801.1,1804.57,807345,1456911127.7,23385,438072,54.26,2019,1,1454109079.5,-1.019426812848634,Negative
